2020/11/23 09:37:01.955 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:37:16.751 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:44:52.188 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:45:07.728 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:46:39.042 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_date >= "2020-09-21 00:00:00 " and m.f_re_date <="2020-09-21 23:59:59" ",1,20," order by m.id  desc"))
2020/11/23 09:58:11.759 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE "%超级%") ",1,20," order by m.id  desc"))
2020/11/23 10:33:00.305 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:33:20.084 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:35:58.797 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') and m.f_re_date >= '2020-11-03 00:00:00' and m.f_re_date <= '2020-11-03 23:59:59' ",1,20," order by m.id  desc"))
2020/11/23 10:47:25.139 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (3,0,"",1,"{"f_status":"0","f_type":"0","f_borrow_deptid":"92","f_borrow_username":"超级管理员","f_borrow_bdate":"2020-11-03","f_borrow_edate":"2020-11-03","f_return_bdate":"","f_return_edate":""}",1,20," order by m.id desc "))
2020/11/23 16:34:53.732 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:34:53.732 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:34:53.733 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:34:53.734 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:34:53.735 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:34:53.736 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:34:53.736 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:34:53.737 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:34:54.826 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:34:54.827 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:34:54.828 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:34:54.829 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:34:54.829 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:34:54.831 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:34:54.831 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:34:54.832 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
2020/11/23 16:34:54.832 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:34:54.833 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:34:54.834 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:34:54.835 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:34:54.836 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:34:54.837 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:34:54.838 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:34:54.839 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:35:11.224 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:35:11.225 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:35:11.226 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:35:11.226 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:35:11.227 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:35:11.228 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:35:11.229 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:35:11.230 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
2020/11/23 16:35:11.230 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:35:11.231 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:35:11.232 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:35:11.232 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:35:11.233 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:35:11.234 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:35:11.234 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:35:11.235 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:35:11.536 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:35:11.537 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:35:11.537 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:35:11.538 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:35:11.539 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:35:11.540 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:35:11.541 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:35:11.542 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
2020/11/23 16:35:11.543 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:35:11.543 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:35:11.544 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:35:11.545 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:35:11.546 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:35:11.546 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:35:11.547 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:35:11.548 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:36:13.701 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:36:13.702 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:36:13.703 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:36:13.704 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:36:13.705 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:36:13.706 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:36:14.057 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 3) a LIMIT 0,1)
2020/11/23 16:36:14.058 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 4) a LIMIT 0,1)
2020/11/23 16:36:14.058 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 5) a LIMIT 0,1)
2020/11/23 16:36:14.059 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 6) a LIMIT 0,1)
2020/11/23 16:36:14.060 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 7) a LIMIT 0,1)
2020/11/23 16:36:14.061 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 9) a LIMIT 0,1)
2020/11/23 16:36:14.062 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:36:14.063 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
